PK,SK,address,created_at,delivery_company,description,email,email_preferences,GSI1_PK,GSI1_SK,GSI2_PK,GSI2_SK,image_url,memo_for_shop,memo_for_users,messages,name,notification_emails,owner_id,password_hash,phone,pin,preferredDate,preferredTime,price,product_id,shop_id,status,tracking_number,ts_activated_at,ts_banned_at,ts_completed_at,ts_created_at,ts_expired_at,ts_linked_at,ts_shipped_at,ts_submitted_at,ts_updated_at,valid_days,zipCode
QR#14457512-f477-4ddd-b272-99efe22ee90b,CHAT,,,,,,"{""a"":{""S"":""ja""},""yudai.ito.9124@gmail.com"":{""S"":""ja""}}",,,,,,,,"[{""M"":{""id"":{""S"":""2264aef5-0b4a-47b2-b4ae-68555d9c5b72""},""message"":{""S"":""hello?""},""ts_created_at"":{""S"":""2026-02-06T17:50:44.991Z""},""username"":{""S"":""hello""}}},{""M"":{""id"":{""S"":""f026b27e-8c30-4232-a68c-96296a144f51""},""message"":{""S"":""aaaaaaaaaaaaaaa""},""ts_created_at"":{""S"":""2026-02-06T17:59:52.705Z""},""username"":{""S"":""a""}}},{""M"":{""id"":{""S"":""ee0159ad-28c6-4685-9e7f-ab50e3df3bb6""},""message"":{""S"":""nan""},""ts_created_at"":{""S"":""2026-02-06T18:01:32.384Z""},""username"":{""S"":""yu""}}},{""M"":{""id"":{""S"":""d4659b4d-b42d-40f2-80a4-0819d4d5076c""},""message"":{""S"":""DeliveryCompleted""},""ts_created_at"":{""S"":""2026-02-06T18:05:12.595Z""},""username"":{""S"":""System""}}}]",,"[""a"",""yudai.ito.9124@gmail.com""]",,,,,,,,,,,,,,,,,,,,,,
QR#14457512-f477-4ddd-b272-99efe22ee90b,ORDER,Ç†,,aaaaaa,,a@a,,,,,,,,,,Ç†,,,,a,,,,,,,,aaaaaaaaaaaaaaa,,,,,,,2026/2/7 3:03,2026/2/5 9:06,2026/2/7 3:03,,Ç†
SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,METADATA,,2026/1/27 8:54,,,,,,,USER#4744ea28-6021-703a-2246-449adfe51aaa,2026/1/27 8:54,,,,,ShopYudai,,4744ea28-6021-703a-2246-449adfe51aaa,,,,,,,,,,,,,,,,,,,,,
SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,PRODUCT#225f4a33-a46b-4043-bc24-f3b1d1e6d16c,,2026/2/2 0:19,,a,,,PRODUCT#STOPPED,2026/2/2 0:19,,,https://placehold.co/1280x720?text=No+Image,,,,aaa,,,,,,,,1,225f4a33-a46b-4043-bc24-f3b1d1e6d16c,,STOPPED,,,,,,,,,,,,
SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,PRODUCT#2d53a6e1-5ed6-4ae1-a937-032f15eae9a8,,2026/1/27 15:47,,a,,,PRODUCT#STOPPED,2026/1/27 15:47,,,https://infrastack-productimagebucketdce10e3f-qmgx3s9tvlno.s3.ap-northeast-1.amazonaws.com/shops/e092f365-53f4-4747-a63f-723c3ac1d84f/products/fe92e616-5abd-46d1-a2c5-29ff2d46ffe7.jpg,,,,waa,,,,,,,,1,2d53a6e1-5ed6-4ae1-a937-032f15eae9a8,,STOPPED,,,,,,,,,,,,
SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,PRODUCT#e9c0a184-bb95-479e-8af6-5bc51d9c68e1,,2026/1/27 14:59,,Ç®Ç¢ÇµÇ¢,,,PRODUCT#STOPPED,2026/1/27 14:59,,,https://infrastack-productimagebucketdce10e3f-qmgx3s9tvlno.s3.ap-northeast-1.amazonaws.com/shops/e092f365-53f4-4747-a63f-723c3ac1d84f/products/0080de8e-774f-451a-8c9b-0f1ec96ddf38.jpeg,,,,Ç™Ç≠ÇøÇÂÇ§ÇπÇÒÇ◊Ç¢,,,,,,,,1000000,e9c0a184-bb95-479e-8af6-5bc51d9c68e1,,STOPPED,,,,,,,,,,,,
SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,PRODUCT#f7061789-16d0-45a4-98fa-8198b54e5b08,,,,ïƒâŸè† ìCà¡ÅiÇƒÇ¢Ç†ÇÒÅjé©ñùÇÃÇ®ê˜ñ›Ç∆èHìcëÂäwìÏíJäwí∑Ç™ÉRÉâÉ{ÉåÅ[ÉVÉáÉìÅBèHìcåßéYÇ†Ç´ÇΩÇ±Ç‹ÇøàÍìôïƒÇÃê∂ínÇã≤Ç›éËèƒÇ´Ç…Çƒ êEêlÇ™àÍñáàÍñáíöîJÇ…èƒÇ´Ç†Ç∞ÇΩÇ®ê˜ñ›Ç≈Ç∑ÅBÅ@,,,PRODUCT#ACTIVE,,,,https://infrastack-productimagebucketdce10e3f-qmgx3s9tvlno.s3.ap-northeast-1.amazonaws.com/shop/e092f365-53f4-4747-a63f-723c3ac1d84f/products/40ab7380-22aa-4be6-8cdd-615c2ea7526b.jpeg,,,,Ç™Ç≠ÇøÇÂÇ§ÇπÇÒÇ◊Ç¢,,,,,,,,0,,,ACTIVE,,,,,2026/2/9 13:50,,,,,,180,
QR#150d8972-8ab5-4168-9bea-7428f7fecc61,METADATA,,,,,,,QR#UNASSIGNED,2026/2/25 9:45,,,,,,,,,,,,14844513,,,,,,UNASSIGNED,,,,,2026/2/25 9:45,,,,,2026/2/25 9:45,,
QR#f9138a12-3f21-442c-a934-4059d569bbe6,METADATA,,,,,,,QR#BANNED,2026/2/9 11:39,,,,,,,,,,,,69216804,,,,,,BANNED,,,2026/2/9 11:51,,2026/2/9 11:39,,,,,2026/2/9 11:51,,
QR#5b5e8de2-9b54-4dd7-9d99-215f5586bc73,CHAT,,,,,,,,,,,,,,"[{""M"":{""id"":{""S"":""449b984e-5b05-46e6-9152-2d6c797a24da""},""message"":{""S"":""aaaaaaaaaaaaaa""},""ts_created_at"":{""S"":""2026-02-06T16:20:49.244Z""},""username"":{""S"":""aaaaa""}}},{""M"":{""id"":{""S"":""38bf4686-4dee-46f7-bf8c-e05100c93a53""},""message"":{""S"":""aaaaaaaaaaaaa""},""ts_created_at"":{""S"":""2026-02-06T16:20:56.684Z""},""username"":{""S"":""aaaaa""}}},{""M"":{""id"":{""S"":""2c7dfc11-1132-4930-b830-a1e0136f562e""},""message"":{""S"":""a""},""ts_created_at"":{""S"":""2026-02-06T16:20:58.584Z""},""username"":{""S"":""aaaaa""}}},{""M"":{""id"":{""S"":""ba3eee55-0eee-49fc-9b14-053f4325a73f""},""message"":{""S"":""wwwwwww""},""ts_created_at"":{""S"":""2026-02-06T16:21:02.143Z""},""username"":{""S"":""aaaaa""}}}]",,,,,,,,,,,,,,,,,,,,,,,,
QR#5b5e8de2-9b54-4dd7-9d99-215f5586bc73,ORDER,a,,â^ëóâÔé–,,,,,,,,,,,,a,,,,,,,,,,,,00000,,,,,,,2026/2/7 1:19,2026/2/5 13:28,2026/2/7 1:19,,a
QR#39c43abb-01c3-4cb9-9158-bf02c36ab347,METADATA,,,,,,,QR#UNASSIGNED,2026/2/25 9:45,,,,,,,,,,,,61945315,,,,,,UNASSIGNED,,,,,2026/2/25 9:45,,,,,2026/2/25 9:45,,
QR#cdce5e31-86a6-479d-a19e-bf1d58331c05,CHAT,,,,,,"{""yudai.ito.9124@gmail.com"":{""S"":""ja""}}",,,,,,,,,,"[""yudai.ito.9124@gmail.com""]",,,,,,,,,,,,,,,,,,,,,,
QR#cdce5e31-86a6-479d-a19e-bf1d58331c05,METADATA,,,,,,,QR#USED,2026/2/10 12:23,SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,2026/2/16 16:49,,test,test,,,,,$2b$10$KNKrqCNVljWFz/L4fpvYIerh5/N9Mt0DTG0puNBCU7aMglF3spXmu,,71831389,,,,f7061789-16d0-45a4-98fa-8198b54e5b08,e092f365-53f4-4747-a63f-723c3ac1d84f,USED,,2026/2/16 16:49,,,2026/2/10 12:23,2026/8/15 16:49,2026/2/16 16:49,,2026/2/16 16:50,2026/2/16 16:50,,
QR#cdce5e31-86a6-479d-a19e-bf1d58331c05,ORDER,a,,,,yudai.ito.9124@gmail.com,,,,,,,,,,name,,,,,,,,,,,,,,,,,,,,2026/2/16 16:50,2026/2/16 16:50,,a
QR#10f7c688-1d14-4794-937d-2c16aa6e15b2,METADATA,,,,,,,QR#BANNED,2026/2/9 11:51,,,,,,,,,,,,50973751,,,,,,BANNED,,,2026/2/9 12:23,,2026/2/9 11:51,,,,,2026/2/9 12:23,,
QR#b2e0b535-e765-42b5-9208-2a3f28da9e89,METADATA,,,,,,,QR#ACTIVE,2026/2/24 10:13,SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,2026/2/24 15:50,,äwí∑,,,,,,,,17254509,,,,f7061789-16d0-45a4-98fa-8198b54e5b08,e092f365-53f4-4747-a63f-723c3ac1d84f,ACTIVE,,2026/2/24 15:50,,,2026/2/24 10:13,2026/8/23 15:50,2026/2/24 15:50,,,2026/2/24 15:50,,
QR#9ba010a5-8ddc-44db-966a-74e8fea65956,METADATA,,,,,,,QR#UNASSIGNED,2026/2/25 18:03,,,,,,,,,,,,23920201,,,,,,UNASSIGNED,,,,,2026/2/25 18:03,,,,,2026/2/25 18:03,,
QR#3ba3994e-450d-4021-a279-0228acf001a4,METADATA,,,,,,,QR#COMPLETED,2026/2/25 18:27,SHOP#b4c63849-b497-472f-9f33-67e915158201,2026/2/25 18:27,,,,,,,,,,67266828,,,,52d65cb1-a885-4b9d-a8d5-8a2914a91d57,b4c63849-b497-472f-9f33-67e915158201,COMPLETED,,2026/2/25 18:27,,2026/2/25 18:29,2026/2/25 18:27,2026/8/24 18:27,2026/2/25 18:27,2026/2/25 18:29,2026/2/25 18:28,2026/2/25 18:29,,
QR#3ba3994e-450d-4021-a279-0228acf001a4,ORDER,eeeeeeeeeeeeeeeeee,,aaa,,,,,,,,,,,,eeeeeee,,,,eeeeeeeeeeeeeeeeeeeeeeeeee,,2026/2/26,,,,,,123,,,,,,,2026/2/25 18:29,2026/2/25 18:28,2026/2/25 18:29,,eeeeeeeeeeee
QR#ee3e1258-f3c4-4c88-8ea8-4569a5df6b35,METADATA,,,,,,,QR#EXPIRED,2026/2/9 12:34,SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,2026/2/9 12:55,,,,,,,,,,83208445,,,,e9c0a184-bb95-479e-8af6-5bc51d9c68e1,e092f365-53f4-4747-a63f-723c3ac1d84f,EXPIRED,,2026/2/9 12:55,,,2026/2/9 12:34,2026/2/10 12:55,2026/2/9 12:55,,,2026/2/10 17:37,,
QR#ac8dee7f-d461-4174-ae25-ed40f2834291,METADATA,,,,,,,QR#UNASSIGNED,2026/2/24 15:15,,,,,,,,,,,,71033969,,,,,,UNASSIGNED,,,,,2026/2/24 15:15,,,,,2026/2/24 15:15,,
QR#3d4e4bfa-73fb-4d35-9eaf-7277dff12e6d,METADATA,,,,,,,QR#BANNED,2026/2/9 11:39,,,,,,,,,,,,98939625,,,,,,BANNED,,,2026/2/9 11:51,,2026/2/9 11:39,,,,,2026/2/9 11:51,,
QR#e2d18f60-f029-40fb-8a2c-f043dac77775,METADATA,,,,,,,QR#BANNED,2026/2/10 9:50,,,,,,,,,,,,87388955,,,,,,BANNED,,,2026/2/24 10:14,,2026/2/10 9:50,,,,,2026/2/24 10:14,,
QR#7a70df55-9c9f-47c7-b043-03c194ec2170,METADATA,,,,,,,QR#UNASSIGNED,2026/2/24 15:15,,,,,,,,,,,,25219753,,,,,,UNASSIGNED,,,,,2026/2/24 15:15,,,,,2026/2/24 15:15,,
QR#22b13aef-282a-4511-b0e0-631dcf96a513,METADATA,,,,,,,QR#UNASSIGNED,2026/2/25 18:03,,,,,,,,,,,,98504462,,,,,,UNASSIGNED,,,,,2026/2/25 18:03,,,,,2026/2/25 18:03,,
QR#b86cc9db-30a6-48a4-a445-e8571fe47458,METADATA,,,,,,,QR#BANNED,2026/2/9 11:39,,,,,,,,,,,,94843321,,,,,,BANNED,,,2026/2/9 11:51,,2026/2/9 11:39,,,,,2026/2/9 11:51,,
QR#790eb611-4bfe-4f8d-8dae-32d1b1e36486,CHAT,,,,,,"{""a@a.com"":{""S"":""ja""}}",,,,,,,,"[{""M"":{""id"":{""S"":""b6ccf4e7-a11e-4a75-81b3-3d7453e9aa86""},""message"":{""S"":""DeliveryCompleted""},""ts_created_at"":{""S"":""2026-02-09T02:35:53.155Z""},""username"":{""S"":""System""}}}]",,"[""a@a.com""]",,,,,,,,,,,,,,,,,,,,,,
QR#790eb611-4bfe-4f8d-8dae-32d1b1e36486,ORDER,Ç†,,ÅZÅZâ^óA,,a@a.com,,,,,,,,,,Ç†,,,,2,,,,,,,,1234-5678,,,,,,,2026/2/9 11:35,2026/2/9 11:33,2026/2/9 11:35,,Ç†
QR#8c100b61-ed5e-4706-9f2a-bbcd2ddf8c18,METADATA,,,,,,,QR#UNASSIGNED,2026/2/24 15:15,,,,,,,,,,,,84972129,,,,,,UNASSIGNED,,,,,2026/2/24 15:15,,,,,2026/2/24 15:15,,
QR#9ffecf0e-ac2d-4770-b5e6-ac2b47c7b041,CHAT,,,,,,"{""saba38322201@gmail.com"":{""S"":""ja""},""yudai.ito.9124@gmail.com"":{""S"":""ja""}}",,,,,,,,"[{""M"":{""id"":{""S"":""7cae4796-1a4a-4f81-869c-882a8313089b""},""message"":{""S"":""testdesuyo""},""ts_created_at"":{""S"":""2026-02-07T04:39:15.946Z""},""username"":{""S"":""yudai""}}}]",,"[""saba38322201@gmail.com"",""yudai.ito.9124@gmail.com""]",,,,,,,,,,,,,,,,,,,,,,
QR#9ffecf0e-ac2d-4770-b5e6-ac2b47c7b041,ORDER,a,,,,yudai.ito.9124@gmail.com,,,,,,,,,,a,,,,,,,,,,,,,,,,,,,,2026/2/7 13:32,2026/2/7 13:32,,a
QR#73bfd571-8600-4f02-9c1f-0b933885a1a5,CHAT,,,,,,"{""yudai.ito.9124@gmail.com"":{""S"":""ja""}}",,,,,,,,,,"[""yudai.ito.9124@gmail.com""]",,,,,,,,,,,,,,,,,,,,,,
QR#73bfd571-8600-4f02-9c1f-0b933885a1a5,ORDER,éËå`äwâÄí¨1-1,,,,yudai.ito.9124@gmail.com,,,,,,,,,,à…ì°óIëÂ,,,,09033669124,,,,,,,,,,,,,,,,2026/2/9 10:22,2026/2/9 10:22,,0108502
QR#ca0898a0-cd23-43e2-b275-509e6ee305bb,METADATA,,,,,,,QR#EXPIRED,2026/2/9 12:34,SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,2026/2/9 12:53,,,,,,,,,,93973769,,,,e9c0a184-bb95-479e-8af6-5bc51d9c68e1,e092f365-53f4-4747-a63f-723c3ac1d84f,EXPIRED,,2026/2/9 12:53,,,2026/2/9 12:34,2026/2/10 12:53,2026/2/9 12:53,,,2026/2/10 17:37,,
QR#42c0457c-5275-486c-bbf2-b93b02a7069d,METADATA,,,,,,,QR#UNASSIGNED,2026/2/24 15:15,,,,,,,,,,,,92154231,,,,,,UNASSIGNED,,,,,2026/2/24 15:15,,,,,2026/2/24 15:15,,
QR#1920b11b-10cb-4a0e-a8d7-c23b6d212e23,METADATA,,,,,,,QR#BANNED,2026/2/10 9:50,,,,,,,,,,,,93808270,,,,,,BANNED,,,2026/2/24 10:14,,2026/2/10 9:50,,,,,2026/2/24 10:14,,
QR#d3719994-f49f-460c-b973-707e87ac3025,METADATA,,,,,,,QR#BANNED,2026/2/9 11:51,,,,,,,,,,,,77727933,,,,,,BANNED,,,2026/2/9 12:23,,2026/2/9 11:51,,,,,2026/2/9 12:23,,
QR#4a8bfa8c-f75e-4495-a17e-ef1ed259652e,METADATA,,,,,,,QR#EXPIRED,2026/2/9 12:34,SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,2026/2/9 12:55,,,,,,,,,,25585447,,,,e9c0a184-bb95-479e-8af6-5bc51d9c68e1,e092f365-53f4-4747-a63f-723c3ac1d84f,EXPIRED,,2026/2/9 12:55,,,2026/2/9 12:34,2026/2/10 12:55,2026/2/9 12:55,,,2026/2/10 17:37,,
SHOP#b4c63849-b497-472f-9f33-67e915158201,METADATA,,2026/1/27 14:42,,,,,,,USER#4744ea28-6021-703a-2246-449adfe51aaa,2026/1/27 14:42,,,,,TestShp2,,4744ea28-6021-703a-2246-449adfe51aaa,,,,,,,,,,,,,,,,,,,,,
SHOP#b4c63849-b497-472f-9f33-67e915158201,PRODUCT#52d65cb1-a885-4b9d-a8d5-8a2914a91d57,,,,ê‡ñæÉeÉXÉg\naaaa\n3çsñ⁄\nï\é¶Ç≥ÇÍÇƒÇÈÅH,,,PRODUCT#ACTIVE,,,,https://infrastack-productimagebucketdce10e3f-qmgx3s9tvlno.s3.ap-northeast-1.amazonaws.com/shop/b4c63849-b497-472f-9f33-67e915158201/products/4f4fcedd-e39d-49cb-ac4e-639e8b2a8184.png,,,,ÉeÉXÉgè§ïi,,,,,,,,0,,,ACTIVE,,,,,2026/2/25 12:35,,,,,,180,
QR#d993655e-5847-4177-af26-b064dbcc07a9,METADATA,,,,,,,QR#BANNED,2026/2/9 11:51,,,,,,,,,,,,50589483,,,,,,BANNED,,,2026/2/9 12:23,,2026/2/9 11:51,,,,,2026/2/9 12:23,,
QR#db93049a-7bd7-445e-b2b5-e2751fe6d33f,METADATA,,,,,,,QR#BANNED,2026/2/10 9:50,,,,,,,,,,,,61432516,,,,,,BANNED,,,2026/2/24 10:14,,2026/2/10 9:50,,,,,2026/2/24 10:14,,
QR#30d1ddff-2ff0-4713-911f-287a10c57a74,CHAT,,,,,,"{""saba38322201@gmail.com"":{""S"":""ja""}}",,,,,,,,,,"[""saba38322201@gmail.com""]",,,,,,,,,,,,,,,,,,,,,,
QR#30d1ddff-2ff0-4713-911f-287a10c57a74,ORDER,juusho,,,,saba38322201@gmail.com,,,,,,,,,,namae,,,,,,,,,,,,,,,,,,,,2026/2/7 13:24,2026/2/7 13:24,,bango
QR#513034b4-6e7b-4ef0-9d05-ee1ae3235c3a,METADATA,,,,,,,QR#ACTIVE,2026/2/9 14:00,SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,2026/2/10 9:57,,,,,,,,,,48686376,,,,f7061789-16d0-45a4-98fa-8198b54e5b08,e092f365-53f4-4747-a63f-723c3ac1d84f,ACTIVE,,2026/2/10 9:57,,,2026/2/9 14:00,2026/8/9 9:57,2026/2/10 9:57,,,2026/2/10 9:57,,
QR#b8b669fa-357d-48fe-a7e5-8b181d8f8531,METADATA,,,,,,,QR#UNASSIGNED,2026/2/24 15:15,,,,,,,,,,,,10003453,,,,,,UNASSIGNED,,,,,2026/2/24 15:15,,,,,2026/2/24 15:15,,
QR#63400ee9-c1c7-4dca-b262-d8c0cee5011c,METADATA,,,,,,,QR#UNASSIGNED,2026/2/24 10:13,,,,,,,,,,,,84510490,,,,,,UNASSIGNED,,,,,2026/2/24 10:13,,,,,2026/2/24 10:13,,
QR#59064bf9-f900-489f-bbe8-2af0bff18a83,METADATA,,,,,,,QR#USED,2026/2/24 13:37,SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,2026/2/24 13:38,,test,,,,,,,,95582225,,,,f7061789-16d0-45a4-98fa-8198b54e5b08,e092f365-53f4-4747-a63f-723c3ac1d84f,USED,,2026/2/24 13:38,,,2026/2/24 13:37,2026/8/23 13:38,2026/2/24 13:38,,2026/2/24 13:39,2026/2/24 13:39,,
QR#59064bf9-f900-489f-bbe8-2af0bff18a83,ORDER,a,,,,,,,,,,,,,,a,,,,1,,,,,,,,,,,,,,,,2026/2/24 13:39,2026/2/24 13:39,,a
QR#f9c07729-5d60-4ad3-ada9-3f8e905d0b4c,METADATA,,,,,,,QR#UNASSIGNED,2026/2/25 18:03,,,,,,,,,,,,34834485,,,,,,UNASSIGNED,,,,,2026/2/25 18:03,,,,,2026/2/25 18:03,,
QR#0f86a1d8-0457-41fa-a17a-fe831767f049,METADATA,,,,,,,QR#BANNED,2026/2/10 9:50,,,,,,,,,,,,79597575,,,,,,BANNED,,,2026/2/24 10:14,,2026/2/10 9:50,,,,,2026/2/24 10:14,,
QR#159316b7-e188-4b85-8a97-85b4617a8006,METADATA,,,,,,,QR#BANNED,2026/2/10 9:50,,,,,,,,,,,,39848173,,,,,,BANNED,,,2026/2/24 10:14,,2026/2/10 9:50,,,,,2026/2/24 10:14,,
QR#e6f63252-32b5-4d29-99d9-5bac2ab4b441,METADATA,,,,,,,QR#ACTIVE,2026/2/9 14:00,SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,2026/2/20 11:10,,â™˙±êÊê∂,,,,,,,,20126129,,,,f7061789-16d0-45a4-98fa-8198b54e5b08,e092f365-53f4-4747-a63f-723c3ac1d84f,ACTIVE,,2026/2/20 11:10,,,2026/2/9 14:00,2026/8/19 11:10,2026/2/20 11:10,,,2026/2/20 11:10,,
QR#d85513ae-7f70-4a1e-9a14-726c4244ed72,METADATA,,,,,,,QR#UNASSIGNED,2026/2/24 10:13,,,,,,,,,,,,73746166,,,,,,UNASSIGNED,,,,,2026/2/24 10:13,,,,,2026/2/24 10:13,,
QR#d13a50af-9242-40bd-9da6-a7acc21bf59f,CHAT,,,,,,"{""yudai.ito.9124@gmail.com"":{""S"":""ja""}}",,,,,,,,"[{""M"":{""id"":{""S"":""11d35f09-b24b-4d0e-b581-ff2ec6b387ba""},""message"":{""S"":""doudesuka?""},""ts_created_at"":{""S"":""2026-02-07T03:10:13.244Z""},""username"":{""S"":""koncha""}}},{""M"":{""id"":{""S"":""75c0a95b-94a3-4b32-8a03-cce4c1221a05""},""message"":{""S"":""hiÇ≈Ç∑ÇÊ""},""ts_created_at"":{""S"":""2026-02-07T03:11:08.482Z""},""username"":{""S"":""koncha""}}},{""M"":{""id"":{""S"":""51df6733-e538-4deb-b137-1c56d835c927""},""message"":{""S"":""waaaaaaaaaaaaaaaan""},""ts_created_at"":{""S"":""2026-02-07T03:25:59.777Z""},""username"":{""S"":""aaa""}}},{""M"":{""id"":{""S"":""9bf68f11-5f00-4944-a1ae-63c2eee02d4d""},""message"":{""S"":""Ç«Ç§ÇµÇΩÇÒÇ∑Ç©ÅH""},""ts_created_at"":{""S"":""2026-02-07T03:29:22.817Z""},""username"":{""S"":""Ç»Ç‹Ç¶""}}},{""M"":{""id"":{""S"":""495c8d10-15b3-40b2-8540-c9b71e114b07""},""message"":{""S"":""DeliveryCompleted""},""ts_created_at"":{""S"":""2026-02-07T03:46:11.391Z""},""username"":{""S"":""System""}}}]",,"[""yudai.ito.9124@gmail.com""]",,,,,,,,,,,,,,,,,,,,,,
QR#d13a50af-9242-40bd-9da6-a7acc21bf59f,ORDER,1,,unyu,,yudai.ito.9124@gmail.com,,,,,,,,,,1,,,,,,,,,,,,bangou,,,,,,,2026/2/7 12:33,2026/2/7 12:31,2026/2/7 12:33,,1
QR#28ec1e4f-eca2-4984-86e6-76bde6f6ff6b,METADATA,,,,,,,QR#UNASSIGNED,2026/2/25 18:03,,,,,,,,,,,,49492110,,,,,,UNASSIGNED,,,,,2026/2/25 18:03,,,,,2026/2/25 18:03,,
QR#b5512d29-f074-4885-a272-835febdfbcc4,CHAT,,,,,,"{""saba38322201@gmail.com"":{""S"":""ja""}}",,,,,,,,"[{""M"":{""id"":{""S"":""4d5fb378-fa1d-46e1-ba1a-92d4f8665fdf""},""message"":{""S"":""DeliveryCompleted""},""ts_created_at"":{""S"":""2026-02-25T00:50:18.280Z""},""username"":{""S"":""System""}}}]",,"[""saba38322201@gmail.com""]",,,,,,,,,,,,,,,,,,,,,,
QR#b5512d29-f074-4885-a272-835febdfbcc4,METADATA,,,,,,,QR#COMPLETED,2026/2/25 9:45,SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,2026/2/25 9:46,,,,,,,,$2b$10$ARSByfMdulHSxo.UeW/Ixu5KBqXWT/0JT0l7vakGtEdcuDO6ZSIOq,,60687771,,,,f7061789-16d0-45a4-98fa-8198b54e5b08,e092f365-53f4-4747-a63f-723c3ac1d84f,COMPLETED,,2026/2/25 9:46,,2026/2/25 9:50,2026/2/25 9:45,2026/8/24 9:46,2026/2/25 9:46,2026/2/25 9:49,2026/2/25 9:48,2026/2/25 9:50,,
QR#b5512d29-f074-4885-a272-835febdfbcc4,ORDER,èZèä,,Ç‚Ç‹Ç∆,,saba38322201@gmail.com,,,,,,,,,,ñºëO,,,,ÇOÇOÇOÅ|ÇOÇOÇOÇOÅ|ÇOÇOÇOÇO,,,,,,,,1111111111111111111,,,,,,,2026/2/25 9:49,2026/2/25 9:48,2026/2/25 9:49,,000000
QR#0224bd4f-041c-4a6c-b7e7-5b2d77e66212,METADATA,,,,,,,QR#UNASSIGNED,2026/2/25 9:45,,,,,,,,,,,,45137977,,,,,,UNASSIGNED,,,,,2026/2/25 9:45,,,,,2026/2/25 9:45,,
QR#22623a1f-bca6-4d36-9fc9-53e76de67765,METADATA,,,,,,,QR#UNASSIGNED,2026/2/24 10:13,,,,,,,,,,,,16316353,,,,,,UNASSIGNED,,,,,2026/2/24 10:13,,,,,2026/2/24 10:13,,
QR#0c3da1ae-9871-4426-8011-29e070374a33,METADATA,,,,,,,QR#SHIPPED,2026/2/25 9:45,SHOP#b4c63849-b497-472f-9f33-67e915158201,2026/2/25 16:48,,,,,,,,,,35686133,,,,52d65cb1-a885-4b9d-a8d5-8a2914a91d57,b4c63849-b497-472f-9f33-67e915158201,SHIPPED,,2026/2/25 16:48,,,2026/2/25 9:45,2026/8/24 16:48,2026/2/25 16:48,2026/2/25 16:50,2026/2/25 16:49,2026/2/25 16:49,,
QR#0c3da1ae-9871-4426-8011-29e070374a33,ORDER,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,2026/2/25 16:50,2026/2/25 16:49,2026/2/25 16:50,,1
QR#058da7fb-6d16-4207-b78c-fbaa9256370e,METADATA,,,,,,,QR#EXPIRED,2026/2/9 12:34,SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,2026/2/9 12:54,,,,,,,,,,58309721,,,,e9c0a184-bb95-479e-8af6-5bc51d9c68e1,e092f365-53f4-4747-a63f-723c3ac1d84f,EXPIRED,,2026/2/9 12:54,,,2026/2/9 12:34,2026/2/10 12:54,2026/2/9 12:54,,,2026/2/10 17:37,,
QR#07574a94-1146-4d2f-918b-00c1bfb33ec1,METADATA,,,,,,,QR#UNASSIGNED,2026/2/9 14:00,,,,,,,,,,,,75490672,,,,,,UNASSIGNED,,,,,2026/2/9 14:00,,,,,2026/2/9 14:00,,
QR#ff4324d3-bd89-4847-994c-59706f883e19,METADATA,,,,,,,QR#UNASSIGNED,2026/2/25 9:45,,,,,,,,,,,,77069386,,,,,,UNASSIGNED,,,,,2026/2/25 9:45,,,,,2026/2/25 9:45,,
QR#b1adb7ef-e89d-45f2-b903-c370b319a942,CHAT,,,,,,"{""saba38322201@gmail.com"":{""S"":""ja""},""yudai.ito.9124@gmail.com"":{""S"":""ja""}}",,,,,,,,"[{""M"":{""id"":{""S"":""aa9072d8-65e5-4dea-b58f-dc53268e03bb""},""message"":{""S"":""waaaaaaaaa""},""ts_created_at"":{""S"":""2026-02-16T01:35:55.254Z""},""username"":{""S"":""aaa""}}}]",,"[""saba38322201@gmail.com"",""yudai.ito.9124@gmail.com""]",,,,,,,,,,,,,,,,,,,,,,
QR#b1adb7ef-e89d-45f2-b903-c370b319a942,METADATA,,,,,,,QR#USED,2026/2/9 13:50,SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,2026/2/9 13:51,,,,,,,,$2b$10$9WxLzYBrKtnSfxHMkK5wbu7DUrCloD99MHyN1Mk9Ra4xxxrz3Uaqi,,28157371,,,,f7061789-16d0-45a4-98fa-8198b54e5b08,e092f365-53f4-4747-a63f-723c3ac1d84f,USED,,2026/2/9 13:51,,,2026/2/9 13:50,2026/8/8 13:51,2026/2/9 13:51,,2026/2/16 10:39,2026/2/16 10:39,,
